id,created_at,deleted_at,title,image_url,description,status,goal_amount,current_progress,start_date,end_date
21,2024-06-06,,Bantuan Pangan untuk Masyarakat Terdampak COVID-19,https://res.cloudinary.com/dvrhf8d9t/image/upload/v1717582969/s.3_rqhrjf.webp,Program ini bertujuan untuk menyediakan paket sembako bagi keluarga yang terdampak secara ekonomi akibat pandemi COVID-19 di berbagai wilayah di Indonesia.,aktif,9000000,4820000,2024-01-01,2024-06-30
26,2024-06-06,,Konservasi Mangrove di Kalimantan,https://res.cloudinary.com/dvrhf8d9t/image/upload/v1717582968/a.1_gd1toc.jpg,Program ini bertujuan untuk melestarikan dan merehabilitasi hutan mangrove di Kalimantan yang mengalami kerusakan akibat aktivitas manusia. Mangrove merupakan ekosistem penting yang melindungi garis pantai dari abrasi dan mendukung keanekaragaman hayati.,aktif,1500000,0,2024-01-01,2024-12-31
7,2024-06-06,,Bantuan Pendidikan Untuk Anak Yatim,https://res.cloudinary.com/dvrhf8d9t/image/upload/v1717582967/e.2_ms2ulm.jpg,Program ini fokus pada pemberian bantuan pendidikan bagi anak yatim di berbagai wilayah di Indonesia.,aktif,10000000,8230000,2024-02-01,2024-07-20
13,2024-06-06,,Rehabilitasi Rumah Korban Gempa di Lombok,https://res.cloudinary.com/dvrhf8d9t/image/upload/v1717582964/b.2_e0mlh2.jpg,"Penggalangan dana untuk memperbaiki dan membangun kembali rumah-rumah yang rusak akibat gempa di Lombok, serta menyediakan bantuan medis dan psikologis bagi korban.",aktif,2500000,14007000,2024-02-01,2024-06-30
20,2024-06-06,,Rumah Harapan,https://res.cloudinary.com/dvrhf8d9t/image/upload/v1717582969/s.2_ga7iyo.jpg,Penggalangan dana untuk membangun tempat tinggal layak bagi keluarga miskin di daerah terpencil.,aktif,15000000,13600000,2024-02-01,2024-11-30
22,2024-06-06,,Rumah Singgah untuk Anak Jalanan,https://res.cloudinary.com/dvrhf8d9t/image/upload/v1717582969/s.4_p0lk68.jpg,"Penggalangan dana ini bertujuan untuk mendirikan rumah singgah yang menyediakan tempat tinggal sementara, makanan, dan pendidikan dasar bagi anak-anak jalanan di Jakarta.",aktif,2000000,504000,2024-02-01,2024-12-31
27,2024-06-06,,Pemulihan Hutan Lindung Wehea,https://res.cloudinary.com/dvrhf8d9t/image/upload/v1717582968/a.2_kbdawg.jpg,"Program ini fokus pada pemulihan hutan lindung Wehea di Kalimantan Timur, yang merupakan habitat bagi berbagai spesies langka dan endemik, termasuk orangutan dan macan dahan. Kegiatan meliputi penanaman pohon dan patroli hutan untuk mencegah penebangan liar.",aktif,2000000,1725000,2024-02-15,2025-02-15
8,2024-06-06,,Donasi Buku untuk Sekolah di Daerah Terpencil,https://res.cloudinary.com/dvrhf8d9t/image/upload/v1717582966/e.3_jigp6r.jpg,Pengumpulan dana untuk pembelian dan distribusi buku ke sekolah-sekolah di daerah terpencil yang kekurangan fasilitas belajar.,selesai,2000000,2000000,2024-03-01,2024-06-01
14,2024-06-06,,Pembangunan Sarana Air Bersih di Daerah Terdampak Kekeringan,https://res.cloudinary.com/dvrhf8d9t/image/upload/v1717582970/b.3_ohfkcs.jpg,Pengumpulan dana untuk pembangunan fasilitas air bersih di daerah-daerah yang terdampak kekeringan di Nusa Tenggara Timur.,aktif,8000000,3532000,2024-03-01,2024-08-30
23,2024-06-06,,Pengembangan Keterampilan untuk Ibu Rumah Tangga di Desa Terpencil,https://res.cloudinary.com/dvrhf8d9t/image/upload/v1717582969/s.5_ccvppr.jpg,Program ini fokus pada pelatihan keterampilan bagi ibu rumah tangga di desa-desa terpencil agar mereka bisa mandiri secara ekonomi melalui usaha kecil.,aktif,2000000,0,2024-03-01,2024-08-31
28,2024-06-06,,Penyelamatan Ekosistem Laut Raja Ampat,https://res.cloudinary.com/dvrhf8d9t/image/upload/v1717582969/a.3_uu1m2l.jpg,"Program ini bertujuan untuk melindungi dan merehabilitasi terumbu karang di Raja Ampat, Papua Barat, yang terkena dampak negatif dari pariwisata berlebihan dan penangkapan ikan yang merusak. Kegiatan meliputi restorasi terumbu karang dan edukasi masyarakat lokal.",aktif,5000000,2800000,2024-03-01,2025-03-01
9,2024-06-06,,Pembangunan Fasilitas Belajar di Sekolah Pesantren,https://res.cloudinary.com/dvrhf8d9t/image/upload/v1717582965/e.4_h0ypyn.jpg,Program ini bertujuan membangun ruang kelas dan fasilitas belajar mengajar di pesantren yang membutuhkan.,aktif,8000000,4690000,2024-04-01,2024-12-31
11,2024-06-06,,Lembaga Pendidikan untuk Anak Berkebutuhan Khusus,https://res.cloudinary.com/dvrhf8d9t/image/upload/v1717582966/e.6_ujtqm0.jpg,Penggalangan dana untuk mendirikan lembaga pendidikan bagi anak-anak berkebutuhan khusus di Indonesia.,aktif,25000000,23017000,2024-04-01,2024-12-31
15,2024-06-06,,Dukungan Psikososial untuk Korban Letusan Gunung Berapi,https://res.cloudinary.com/dvrhf8d9t/image/upload/v1717582970/b.4_mpzoam.jpg,Program ini fokus pada pemberian dukungan psikososial dan edukasi kepada anak-anak dan keluarga yang terdampak letusan gunung berapi di Gunung Sinabung.,aktif,6000000,2333000,2024-04-01,2024-09-30
19,2024-06-06,,Santunan Anak Yatim,https://res.cloudinary.com/dvrhf8d9t/image/upload/v1717582970/s.1_t54ipr.jpg,Inisiatif untuk menyediakan dana pendidikan dan kesejahteraan bagi anak-anak yatim di seluruh Indonesia.,aktif,20000000,5347000,2024-04-01,2024-12-31
24,2024-06-06,,Pembangunan Sanitasi dan Air Bersih di Kampung Nelayan,https://res.cloudinary.com/dvrhf8d9t/image/upload/v1717582968/s.6_m7w55b.jpg,Pengumpulan dana untuk pembangunan fasilitas sanitasi dan penyediaan air bersih di kampung nelayan yang kekurangan akses terhadap kebutuhan dasar ini.,aktif,7000000,670000,2024-04-01,2024-09-30
29,2024-06-06,,Pelestarian Taman Nasional Gunung Leuser,https://res.cloudinary.com/dvrhf8d9t/image/upload/v1717582968/a.4_kikhcf.jpg,"Program ini bertujuan untuk melindungi dan melestarikan Taman Nasional Gunung Leuser di Aceh, yang merupakan salah satu kawasan konservasi terbesar di Indonesia. Fokusnya pada perlindungan habitat gajah, badak Sumatera, dan orangutan.",aktif,6000000,0,2024-04-01,2025-04-01
10,2024-06-06,,Edukasi Digital untuk Siswa Kurang Mampu,https://res.cloudinary.com/dvrhf8d9t/image/upload/v1717582966/e.5_cf3znl.jpg,Menyediakan perangkat belajar digital dan pelatihan bagi siswa dari keluarga kurang mampu agar mereka dapat mengikuti pembelajaran online dengan baik.,aktif,6000000,3500000,2024-05-01,2024-08-01
16,2024-06-06,,Pembangunan Lumbung Sosial di Wilayah Rawan Bencana,https://res.cloudinary.com/dvrhf8d9t/image/upload/v1717582969/b.5_k7wjda.jpg,Menggalang dana untuk membangun lumbung sosial yang berisi logistik darurat di wilayah-wilayah rawan bencana seperti Aceh dan Palu.,aktif,12000000,0,2024-05-01,2024-12-31
17,2024-06-06,,Bantuan Tanah Longsor Garut,https://res.cloudinary.com/dvrhf8d9t/image/upload/v1717582966/b.6_wy8yks.webp,Program penggalangan dana untuk membantu korban Tanah longsor di Garut.,aktif,12000000,6060000,2024-05-01,2024-06-30
25,2024-06-06,,Perbaikan Pusat Kesehatan Masyarakat di Daerah Terpencil,https://res.cloudinary.com/dvrhf8d9t/image/upload/v1717582969/s.7_qln7xr.jpg,Program ini bertujuan untuk memperbaiki dan melengkapi pusat-pusat kesehatan masyarakat di daerah terpencil dengan fasilitas dan obat-obatan yang memadai.,aktif,10000000,8951000,2024-05-01,2024-12-31
30,2024-06-06,,Kampanye Konservasi Laut Wakatobi,https://res.cloudinary.com/dvrhf8d9t/image/upload/v1717582968/a.5_ksrlhx.jpg,"Program ini berfokus pada konservasi laut di Wakatobi, Sulawesi Tenggara, dengan kegiatan utama seperti pembersihan sampah laut, penanaman kembali lamun, dan edukasi tentang praktik berkelanjutan kepada nelayan lokal.",aktif,4000000,0,2024-05-01,2025-05-01
18,2024-06-06,,Bantuan Banjir Bandang dan Tanah Longsor Sulawesi Selatan,https://res.cloudinary.com/dvrhf8d9t/image/upload/v1717582965/b.7_g5sbsm.webp,Penggalangan dana untuk membantu korban banjir bandang dan tanah longsor yang terjadi di Sulawesi Selatan.,aktif,7000000,7035000,2024-05-08,2024-07-31
31,2024-06-06,,Kampanye Konservasi Laut Wakatobi,https://res.cloudinary.com/dvrhf8d9t/image/upload/v1718014013/molhxtrozhphyxtbfehs.jpg,"Program ini berfokus pada konservasi laut di Wakatobi, Sulawesi Tenggara, dengan kegiatan utama seperti pembersihan sampah laut, penanaman kembali lamun, dan edukasi tentang praktik berkelanjutan kepada nelayan lokal.",aktif,10000000,0,2024-07-01,2025-08-08
